# Time (s), Angle of Attack (Â°), Mach Number
0.000000,94.956419,0.007945
1.000000,0.703095,0.146318
2.000000,0.677162,0.284490
3.000000,0.280125,0.411815
4.000000,0.056490,0.526828
5.000000,0.013182,0.628223
6.000000,0.003859,0.714941
7.000000,0.004703,0.786696
8.000000,0.005078,0.778430
9.000000,0.002885,0.722053
10.000000,0.003249,0.669903
11.000000,0.004092,0.622065
12.000000,0.004916,0.577613
13.000000,0.004880,0.535706
14.000000,0.005130,0.495923
15.000000,0.008360,0.457848
16.000000,0.010201,0.421209
17.000000,0.021733,0.385807
18.000000,0.020501,0.351501
19.000000,0.021634,0.318100
20.000000,0.028700,0.285485
21.000000,0.045123,0.253562
22.000000,0.068380,0.222251
23.000000,0.113823,0.191498
24.000000,0.244058,0.161341
25.000000,0.427730,0.131759
26.000000,1.066949,0.102895
27.000000,2.965897,0.075201
28.000000,9.474835,0.050194
29.000000,31.007184,0.033804
30.000000,57.430011,0.038311
31.000000,54.081093,0.054644
32.000000,64.179622,0.061508
33.000000,70.867324,0.067009
34.000000,75.493828,0.070954
35.000000,78.808340,0.073600
36.000000,81.241332,0.075292
37.000000,83.055672,0.076332
38.000000,84.425790,0.076943
39.000000,85.430476,0.077281
40.000000,86.138751,0.077441
41.000000,86.674970,0.077490
42.000000,87.083799,0.077470
43.000000,87.396180,0.077407
44.000000,87.634846,0.077320
45.000000,87.817210,0.077218
46.000000,87.956489,0.077107
47.000000,88.062961,0.076991
48.000000,88.144269,0.076872
49.000000,88.206395,0.076751
50.000000,88.253911,0.076630
51.000000,88.290155,0.076509
52.000000,88.317671,0.076388
53.000000,88.338526,0.076267
54.000000,88.354440,0.076147
55.000000,88.366589,0.076028
56.000000,88.375811,0.075909
57.000000,88.382783,0.075790
58.000000,88.387997,0.075673
59.000000,88.392102,0.075555
60.000000,88.394678,0.075439
61.000000,88.397818,0.075322
62.000000,88.396148,0.075207
63.000000,88.359888,0.075091
64.000000,88.309247,0.074975
65.000000,88.276929,0.074858
66.000000,88.251957,0.074741
67.000000,88.233013,0.074624
68.000000,88.218475,0.074508
69.000000,88.207349,0.074392
70.000000,88.198855,0.074277
71.000000,88.192371,0.074162
72.000000,88.187420,0.074048
73.000000,88.183599,0.073934
74.000000,88.180625,0.073821
75.000000,88.178330,0.073708
76.000000,88.176564,0.073596
77.000000,88.175189,0.073485
78.000000,88.174130,0.073374
79.000000,88.173381,0.073264
80.000000,88.172792,0.073154
81.000000,88.172038,0.073045
82.000000,88.171319,0.072936
83.000000,88.171709,0.072828
84.000000,88.172658,0.072720
85.000000,88.169854,0.072614
86.000000,88.163418,0.072507
87.000000,88.158667,0.072399
88.000000,88.155017,0.072290
89.000000,88.152222,0.072182
90.000000,88.150074,0.072074
91.000000,88.148412,0.071966
92.000000,88.147145,0.071858
93.000000,88.146186,0.071751
94.000000,88.145450,0.071645
95.000000,88.144864,0.071539
96.000000,88.144396,0.071434
97.000000,88.144021,0.071329
98.000000,88.143701,0.071225
99.000000,88.143404,0.071121
100.000000,88.143163,0.071018
101.000000,88.143058,0.070915
102.000000,88.143019,0.070813
103.000000,88.142725,0.070711
104.000000,88.142048,0.070610
105.000000,88.141858,0.070509
106.000000,88.142779,0.070408
107.000000,88.146049,0.070309
108.000000,88.175307,0.070213
109.000000,88.196179,0.070113
110.000000,88.212404,0.070013
111.000000,88.224384,0.069912
112.000000,88.233382,0.069811
113.000000,88.240331,0.069711
114.000000,88.245693,0.069611
115.000000,88.249773,0.069512
116.000000,88.252799,0.069412
117.000000,88.254990,0.069313
118.000000,88.256585,0.069214
119.000000,88.257772,0.069116
120.000000,88.258629,0.069018
121.000000,88.259244,0.068921
122.000000,88.259682,0.068824
123.000000,88.259973,0.068728
124.000000,88.260167,0.068633
125.000000,88.261347,0.068538
126.000000,88.260346,0.068443
127.000000,88.256047,0.068349
128.000000,88.260422,0.068255
129.000000,88.322000,0.068159
130.000000,88.393792,0.068063
131.000000,88.449044,0.067967
132.000000,88.490085,0.067872
133.000000,88.520951,0.067777
134.000000,88.543819,0.067682
135.000000,88.561390,0.067588
136.000000,88.574878,0.067494
137.000000,88.585002,0.067401
138.000000,88.592488,0.067308
139.000000,88.598042,0.067216
140.000000,88.602256,0.067124
141.000000,88.605399,0.067032
142.000000,88.607666,0.066941
143.000000,88.609204,0.066850
144.000000,88.610250,0.066759
145.000000,88.611245,0.066669
146.000000,88.611966,0.066580
147.000000,88.611234,0.066491
148.000000,88.612642,0.066402
149.000000,88.610747,0.066313
150.000000,88.563419,0.066223
151.000000,88.503571,0.066133
152.000000,88.461508,0.066043
153.000000,88.429427,0.065952
154.000000,88.405193,0.065882
155.000000,88.387041,0.065690
156.000000,88.373381,0.084168
157.000000,88.360733,0.050751
158.000000,88.250199,0.023824
159.000000,88.151389,0.021177
160.000000,88.103672,0.020759
161.000000,88.083301,0.020682
162.000000,88.074816,0.020662
163.000000,88.071350,0.020652
164.000000,88.068004,0.020643
165.000000,88.047261,0.020634
166.000000,88.019119,0.020626
167.000000,88.004413,0.020617
168.000000,88.000703,0.020609
169.000000,87.999766,0.020600
170.000000,87.999796,0.020591
171.000000,87.999550,0.020583
172.000000,87.999147,0.020574
173.000000,87.998794,0.020566
174.000000,87.998543,0.020557
175.000000,87.998375,0.020548
176.000000,87.998209,0.020540
177.000000,87.998072,0.020531
178.000000,87.998172,0.020523
179.000000,87.998641,0.020514
180.000000,87.999325,0.020506
181.000000,88.000022,0.020497
182.000000,88.000529,0.020489
183.000000,88.000642,0.020480
184.000000,88.000157,0.020472
185.000000,87.998871,0.020463
186.000000,87.996609,0.020455
187.000000,87.993650,0.020447
188.000000,87.990651,0.020438
189.000000,87.988279,0.020430
190.000000,87.987204,0.020421
191.000000,87.988093,0.020413
192.000000,87.991613,0.020405
193.000000,87.998434,0.020396
194.000000,88.004886,0.020388
195.000000,87.992328,0.020380
196.000000,87.975912,0.020371
197.000000,88.034851,0.020363
198.000000,88.086293,0.020355
199.000000,88.106091,0.020346
200.000000,88.112290,0.020338
201.000000,88.115069,0.020330
202.000000,88.117182,0.020321
203.000000,88.118456,0.020313
204.000000,88.119088,0.020304
205.000000,88.119507,0.020296
206.000000,88.119787,0.020288
207.000000,88.119908,0.020279
208.000000,88.119907,0.020271
209.000000,88.119831,0.020263
210.000000,88.119727,0.020255
211.000000,88.119643,0.020246
212.000000,88.119627,0.020238
213.000000,88.119725,0.020230
214.000000,88.119986,0.020221
215.000000,88.120403,0.020213
216.000000,88.120837,0.020205
217.000000,88.121125,0.020197
218.000000,88.121104,0.020189
219.000000,88.120611,0.020180
220.000000,88.119485,0.020172
221.000000,88.117760,0.020164
222.000000,88.115969,0.020156
223.000000,88.114726,0.020148
224.000000,88.114641,0.020140
225.000000,88.116329,0.020132
226.000000,88.120378,0.020123
227.000000,88.119123,0.020115
228.000000,88.116207,0.020107
229.000000,88.291126,0.020100
230.000000,88.462627,0.020092
231.000000,88.532271,0.020084
232.000000,88.557060,0.020076
233.000000,88.564550,0.020068
234.000000,88.568590,0.020060
235.000000,88.570904,0.020052
236.000000,88.572071,0.020043
237.000000,88.572722,0.020035
238.000000,88.572956,0.020027
239.000000,88.573014,0.020019
240.000000,88.573046,0.020011
241.000000,88.573047,0.020003
242.000000,88.573006,0.019995
243.000000,88.572913,0.019987
244.000000,88.572784,0.019979
245.000000,88.572656,0.019971
246.000000,88.572563,0.019963
247.000000,88.572535,0.019955
248.000000,88.572530,0.019947
249.000000,88.572466,0.019939
250.000000,88.572259,0.019931
251.000000,88.571853,0.019923
252.000000,88.571347,0.019915
253.000000,88.570906,0.019907
254.000000,88.570696,0.019899
255.000000,88.570881,0.019891
256.000000,88.571626,0.019883
257.000000,88.571509,0.019875
258.000000,88.573932,0.019867
259.000000,88.558675,0.019859
260.000000,88.501684,0.019851
261.000000,88.171452,0.019847
262.000000,88.038191,0.019847
263.000000,87.986018,0.019847
264.000000,87.964060,0.019847
265.000000,87.954879,0.019847
266.000000,87.951049,0.019847
267.000000,87.949443,0.019847
